megawatthours	BPAT	Demand	Day-ahead demand forecast	Net generation	Total interchange	CISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	CPLE	Demand	Day-ahead demand forecast	Net generation	Total interchange	ERCO	Demand	Day-ahead demand forecast	Net generation	Total interchange	FPL	Demand	Day-ahead demand forecast	Net generation	Total interchange	ISNE	Demand	Day-ahead demand forecast	Net generation	Total interchange	MISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	NYIS	Demand	Day-ahead demand forecast	Net generation	Total interchange	PACW	Demand	Day-ahead demand forecast	Net generation	Total interchange	PJM	Demand	Day-ahead demand forecast	Net generation	Total interchange	United States Lower 48 (region)	Demand	Day-ahead demand forecast	Net generation	Total interchange
07:00 EST 2/9/2021	NA	6772	6790	9752	6730	NA	19620	19565	13206	-5891	NA	7981	8580	7351	-630	NA	38794	35757	39048	254	NA	10041	10489	10375	334	NA	15199	15180	12302	-2897	NA	78042	80478	75289	-3841	NA	18301	17752	13852	-4449	NA	2356	2467	1494	-862	NA	105062	111213	110274	5221	NA	462403	466163	457674	-1394
08:00 EST 2/9/2021	NA	7074	7127	10439	7216	NA	20108	20056	13582	-5842	NA	8271	8864	7589	-682	NA	42179	39396	42125	-53	NA	11063	11154	11787	724	NA	16282	16220	13498	-2784	NA	82780	85927	79854	-4153	NA	19364	18711	15040	-4324	NA	2471	2571	1431	-1040	NA	109777	111896	115116	5348	NA	488730	489125	483906	-1360
09:00 EST 2/9/2021	NA	7658	7770	11574	7965	NA	21520	21486	15433	-6492	NA	8212	8741	7541	-671	NA	44777	40957	44056	-720	NA	12118	12016	12864	746	NA	16864	16700	14193	-2671	NA	85330	87349	82518	-4172	NA	20116	19407	15660	-4456	NA	2733	2850	1574	-1159	NA	111070	110351	117205	6145	NA	505652	499198	501715	-1508
10:00 EST 2/9/2021	NA	8290	8498	13466	9596	NA	23291	23685	16724	-6561	NA	7842	8176	7531	-311	NA	45823	41263	45380	-443	NA	13175	13013	13865	690	NA	17013	16970	14377	-2636	NA	85767	86846	82360	-4965	NA	20525	19726	15593	-4932	NA	3078	3180	1495	-1583	NA	110499	108451	116430	5940	NA	513317	502820	509379	-950
11:00 EST 2/9/2021	NA	8785	8804	14031	9985	NA	24594	24821	17833	-6739	NA	7426	7690	7515	89	NA	46515	41497	46297	-218	NA	14079	13953	14817	738	NA	17094	17030	14416	-2678	NA	85312	85997	81728	-4899	NA	20847	19862	15746	-5101	NA	3289	3401	1407	-1882	NA	108707	106279	114957	6259	NA	514454	500900	510054	-827
12:00 EST 2/9/2021	NA	8783	8860	13909	9957	NA	25318	24697	19947	-6587	NA	7003	7366	7622	619	NA	47126	41384	46806	-319	NA	14961	14595	15774	813	NA	17241	17080	14504	-2737	NA	84835	85068	81254	-4813	NA	20987	19870	15721	-5266	NA	3317	3412	1507	-1810	NA	106671	104768	112455	5793	NA	512905	496275	508424	-1944
13:00 EST 2/9/2021	NA	8613	8574	13727	9597	NA	25208	24167	19778	-5366	NA	6696	7000	7740	1044	NA	47244	41592	47031	-213	NA	15679	14916	16504	825	NA	17283	17050	14531	-2752	NA	83887	84115	80709	-4540	NA	20913	19761	15920	-4993	NA	3139	3289	1309	-1830	NA	104592	103287	109776	5193	NA	506952	489490	502018	-1775
14:00 EST 2/9/2021	NA	8160	8250	13112	9305	NA	24649	23559	19887	-4525	NA	6346	6724	7733	1387	NA	46915	41244	46743	-172	NA	16097	14982	16856	759	NA	17174	17020	14262	-2912	NA	83169	83248	79567	-4832	NA	20754	19599	15997	-4757	NA	3125	3132	1455	-1670	NA	102975	101966	108718	5752	NA	499888	482891	495086	-1501
15:00 EST 2/9/2021	NA	7899	7994	12520	8903	NA	23996	23013	19241	-4052	NA	6217	6486	7732	1515	NA	46516	41213	46465	-51	NA	16423	15034	17319	896	NA	16972	17010	13935	-3037	NA	82309	82443	79166	-4312	NA	20583	19361	15820	-4763	NA	3000	2967	1336	-1664	NA	102350	101548	107831	5490	NA	494281	477935	488983	-1612
16:00 EST 2/9/2021	NA	7632	7794	12112	8467	NA	23105	22726	19100	-3439	NA	6040	6373	7401	1361	NA	45973	40725	46047	74	NA	16683	14991	17514	831	NA	16867	16930	13871	-2996	NA	81773	81762	79048	-3870	NA	20558	19288	15706	-4852	NA	2978	2873	1409	-1569	NA	101757	102842	107061	5314	NA	489970	475249	484748	-1897
17:00 EST 2/9/2021	NA	7366	7605	11756	8313	NA	22594	22713	18509	-3303	NA	6069	6412	7134	1065	NA	45666	41131	45831	164	NA	16746	15003	17616	870	NA	17148	17040	14109	-3039	NA	81438	81901	78862	-3797	NA	20714	19503	15763	-4951	NA	2798	2789	1380	-1418	NA	102285	106851	107471	5195	NA	489033	479409	484323	-1346
18:00 EST 2/9/2021	NA	7129	7516	11518	8414	NA	22357	23002	17176	-4315	NA	6305	6764	6777	472	NA	46030	40810	46238	207	NA	16425	15204	17551	1126	NA	17898	17740	14912	-2986	NA	82481	83366	79810	-3933	NA	21301	20246	16479	-4822	NA	2725	2723	1292	-1433	NA	104817	109816	109774	4966	NA	494548	487486	489627	-1391
19:00 EST 2/9/2021	NA	7103	7531	11704	8730	NA	22980	23422	17150	-5232	NA	6847	7333	7060	213	NA	46889	41366	47055	165	NA	16306	15568	17443	1137	NA	17817	17850	14941	-2876	NA	85004	86427	81843	-4731	NA	21462	20604	16608	-4854	NA	2701	2715	1326	-1375	NA	108081	109557	113584	5513	NA	507729	498049	503203	-1425
20:00 EST 2/9/2021	NA	7316	7798	12258	9179	NA	24113	24191	17899	-5656	NA	6905	7432	7054	149	NA	48440	42464	48608	168	NA	15881	14620	16947	1066	NA	17230	16950	14228	-3002	NA	87016	88222	83727	-4908	NA	21011	20196	16321	-4690	NA	2726	2795	1261	-1465	NA	107780	108168	112937	5167	NA	514804	502448	510550	-1113
21:00 EST 2/9/2021	NA	7875	8222	13337	9915	NA	26097	26256	19184	-6563	NA	6802	7311	6940	138	NA	48565	42710	48765	199	NA	14917	13625	15871	954	NA	16444	16140	13326	-3118	NA	86191	87378	82740	-5071	NA	20296	19572	15995	-4301	NA	2938	2977	1396	-1542	NA	105884	105170	110958	5083	NA	512747	499918	508483	-1050
22:00 EST 2/9/2021	NA	8215	8426	13737	10204	NA	27303	27691	18426	-7269	NA	6566	7098	6679	113	NA	47680	42051	47890	210	NA	13745	12477	14618	873	NA	15497	15250	12368	-3129	NA	84391	85557	80945	-4673	NA	19411	18734	15025	-4386	NA	3083	3073	1366	-1717	NA	102827	100903	108380	5563	NA	502011	488372	496632	-309
23:00 EST 2/9/2021	NA	8229	8358	13753	9981	NA	26695	27184	18145	-7355	NA	6240	6810	6627	387	NA	46168	40849	46073	-96	NA	12561	11312	13291	730	NA	14383	14240	11295	-3088	NA	81590	82755	78748	-4003	NA	18313	17739	13951	-4362	NA	3057	3046	1471	-1586	NA	99324	96868	104943	5629	NA	483724	470338	479046	-133
00:00 EST 2/10/2021	NA	8104	8158	13336	9600	NA	25773	26175	17113	-6902	NA	5959	6417	6576	617	NA	43922	38527	43499	-423	NA	11178	10127	11546	368	NA	13483	13310	10382	-3101	NA	79234	79443	77429	-2668	NA	17283	16835	12908	-4375	NA	2982	2971	1368	-1614	NA	96706	94340	101708	5011	NA	464526	450354	460077	835
01:00 EST 2/10/2021	NA	7780	7828	12604	9087	NA	24602	24941	16049	-6601	NA	5809	6170	6569	760	NA	41754	36346	41292	-455	NA	10129	9439	10438	309	NA	13416	12900	10246	-3170	NA	77674	77394	75291	-3522	NA	16625	16320	12406	-4219	NA	2851	2827	1447	-1404	NA	94666	93040	100552	5896	NA	449013	433656	444607	628
02:00 EST 2/10/2021	NA	7359	7376	11000	7458	NA	23063	23388	14459	-6531	NA	5707	6127	6255	548	NA	40509	38450	40238	-271	NA	9423	9015	9887	464	NA	13168	12620	9964	-3204	NA	76277	75602	73185	-3910	NA	16219	15927	12275	-3944	NA	2678	2653	1471	-1207	NA	93967	92661	100867	6909	NA	437522	428239	432314	-171
03:00 EST 2/10/2021	NA	7070	7040	10172	7054	NA	21586	21872	14065	-6259	NA	5705	6095	6277	572	NA	39968	37625	39327	-642	NA	8922	8877	9385	463	NA	13085	12540	10716	-2369	NA	75220	74659	72314	-3739	NA	15989	15725	11611	-4378	NA	2546	2535	1352	-1194	NA	93593	93183	100007	6423	NA	430135	422081	425996	110
04:00 EST 2/10/2021	NA	6955	6772	10037	7027	NA	20838	20648	13741	-5712	NA	5746	6260	6645	899	NA	39916	37133	39105	-811	NA	8663	8608	9087	424	NA	13190	12690	11018	-2172	NA	75026	74317	72346	-3530	NA	15939	15691	12024	-3915	NA	2506	2466	1403	-1103	NA	93903	95131	99780	5886	NA	428189	420484	424709	882
05:00 EST 2/10/2021	NA	7031	6749	9956	6799	NA	20340	19938	13765	-5437	NA	5921	6530	7006	1085	NA	40226	37165	39412	-814	NA	8710	8775	9124	414	NA	13565	13080	11492	-2073	NA	75418	74735	72730	-3574	NA	16149	15937	12434	-3715	NA	2489	2445	1419	-1070	NA	94807	99340	101082	6285	NA	431315	426582	428785	1538
06:00 EST 2/10/2021	NA	7070	6791	9901	6718	NA	20065	19530	13733	-5086	NA	6388	7183	6927	539	NA	41248	38248	40536	-712	NA	9295	9558	9666	371	NA	13971	13960	12081	-1890	NA	76144	76593	72902	-4171	NA	16934	16638	12646	-4288	NA	2507	2463	1422	-1085	NA	98575	105467	105237	6672	NA	442656	443201	440124	1628
07:00 EST 2/10/2021	NA	7210	6940	10141	6763	NA	19896	19449	14255	-4836	NA	7061	7965	7109	48	NA	43506	40311	42916	-590	NA	10269	10648	10742	473	NA	15378	15460	13636	-1742	NA	78345	80729	74272	-5304	NA	18298	17837	14262	-4036	NA	2565	2510	1437	-1128	NA	104686	110529	111447	6772	NA	465956	467883	463679	1111
08:00 EST 2/10/2021	NA	7490	7276	11015	7352	NA	20451	19962	14861	-4655	NA	7464	8326	7378	-86	NA	46894	43892	46200	-693	NA	11259	11381	12020	761	NA	16495	16320	14751	-1744	NA	83081	85708	79030	-5481	NA	19416	18827	15181	-4235	NA	2676	2621	1460	-1216	NA	109648	112011	116503	6864	NA	492587	490830	489624	380
09:00 EST 2/10/2021	NA	8053	7923	12353	8405	NA	21853	21354	16163	-5354	NA	7525	8257	7427	-98	NA	49110	45817	48388	-721	NA	12348	12319	13075	727	NA	16891	16510	15057	-1834	NA	85746	87202	81038	-6267	NA	20119	19400	15639	-4480	NA	2937	2891	1542	-1395	NA	110987	111525	117991	7014	NA	509467	502622	506334	-242
10:00 EST 2/10/2021	NA	8757	8650	14157	9817	NA	23625	23573	17291	-5977	NA	7462	7887	7397	-65	NA	49710	45833	49072	-637	NA	13352	13352	14061	709	NA	16779	16730	14844	-1935	NA	86538	87001	81947	-6034	NA	20302	19516	15350	-4952	NA	3272	3188	1516	-1756	NA	109813	110439	116804	7001	NA	515798	507080	512322	-136
11:00 EST 2/10/2021	NA	9143	9025	14480	9891	NA	24482	24387	19473	-5419	NA	7071	7633	7156	85	NA	50378	46128	49841	-537	NA	14204	14267	14849	645	NA	16529	16550	14595	-1934	NA	86484	86447	80838	-7237	NA	20200	19454	15097	-5103	NA	3475	3452	1601	-1874	NA	107862	109150	115668	7815	NA	516008	506906	512734	-714
12:00 EST 2/10/2021	NA	9123	9049	14388	9534	NA	23984	23833	19348	-3311	NA	6762	7374	7185	423	NA	51005	46184	50627	-377	NA	15071	15049	15842	771	NA	16298	16430	15026	-1272	NA	86044	85806	79464	-8088	NA	19998	19350	14245	-5753	NA	3449	3431	1658	-1791	NA	106254	107987	114835	8591	NA	512902	503025	508622	-330
13:00 EST 2/10/2021	NA	8821	8740	13964	9393	NA	22884	22702	18506	-2896	NA	6896	7087	7602	706	NA	51227	45853	50993	-234	NA	12793	15539	13674	881	NA	16082	16350	14127	-1955	NA	85401	85120	78365	-8384	NA	19711	19172	14332	-5379	NA	3328	3347	1678	-1650	NA	105278	106775	113928	8659	NA	505223	496500	500787	-175
14:00 EST 2/10/2021	NA	8373	8312	13244	8971	NA	21829	21578	17676	-2781	NA	6732	6912	7588	856	NA	51087	45424	50789	-297	NA	16313	15623	17155	842	NA	15832	16300	13712	-2120	NA	84759	84529	78172	-7779	NA	19513	19054	14735	-4778	NA	3142	3199	1608	-1534	NA	104553	105405	112983	8440	NA	502977	489732	498978	101
15:00 EST 2/10/2021	NA	8028	8028	12799	8727	NA	20971	20793	17125	-2687	NA	6606	6728	7360	754	NA	51093	45005	50828	-264	NA	16725	15758	17622	897	NA	15604	16350	13388	-2216	NA	84159	83949	77654	-7766	NA	19408	18972	14847	-4561	NA	2982	3062	1522	-1460	NA	104609	104864	113001	8401	NA	500365	485251	497153	472
16:00 EST 2/10/2021	NA	7780	7775	12469	8512	NA	20769	20461	17237	-2970	NA	6616	6667	7204	588	NA	50951	44129	50717	-234	NA	16937	15756	17878	941	NA	15649	16430	13355	-2294	NA	83569	83392	77598	-7039	NA	19518	19066	14882	-4636	NA	2856	2953	1563	-1293	NA	106014	106165	114473	8469	NA	498176	482888	495402	362
17:00 EST 2/10/2021	NA	7504	7549	12003	8237	NA	20531	20562	17847	-2235	NA	6705	6793	6974	269	NA	51011	43757	50786	-224	NA	16829	15742	17831	1002	NA	16186	16760	13724	-2462	NA	83160	83375	78290	-6050	NA	19987	19500	15451	-4536	NA	2733	2851	1413	-1320	NA	106651	109987	114050	7409	NA	498731	486564	496038	125
18:00 EST 2/10/2021	NA	7370	7406	11853	8175	NA	21152	21109	18302	-2311	NA	7096	7291	7181	85	NA	51606	43932	51206	-399	NA	16474	15792	17511	1037	NA	17352	17290	14921	-2431	NA	84189	84636	79519	-5831	NA	20878	20338	16363	-4515	NA	2654	2775	1369	-1285	NA	109603	112432	116201	6607	NA	507537	494675	504346	-324
19:00 EST 2/10/2021	NA	7337	7407	12220	8520	NA	21621	22049	17795	-2535	NA	7567	7792	7448	-119	NA	52680	44703	51955	-724	NA	16308	15984	17311	1003	NA	17620	17750	15206	-2414	NA	86376	87262	81485	-6437	NA	21197	20750	16687	-4510	NA	2621	2759	1329	-1292	NA	112191	111517	119275	7093	NA	519718	504527	516032	-618
20:00 EST 2/10/2021	NA	7528	7661	12861	9453	NA	23042	23486	16311	-5271	NA	7548	7829	7434	-114	NA	53784	46479	52972	-811	NA	15832	14946	16706	874	NA	17161	17160	14344	-2817	NA	88075	88639	83037	-6562	NA	20765	20401	16528	-4237	NA	2712	2879	1386	-1326	NA	111145	109488	118702	7566	NA	524537	509720	520319	-315
21:00 EST 2/10/2021	NA	8029	8150	13548	10024	NA	25251	25587	17826	-7170	NA	7428	7724	7266	-162	NA	53801	46879	53165	-635	NA	14961	13954	15741	780	NA	16484	16390	13783	-2701	NA	87161	87770	82258	-6327	NA	20101	19807	15586	-4515	NA	2915	3053	1485	-1430	NA	108894	106155	116413	7528	NA	522168	507084	518444	-424
22:00 EST 2/10/2021	NA	8189	8408	13933	10369	NA	26738	27141	17982	-7503	NA	7127	7472	7092	-35	NA	53153	46223	52555	-597	NA	13825	12747	14471	646	NA	15583	15400	12654	-2929	NA	85176	85936	80421	-6004	NA	19210	18965	14988	-4222	NA	3026	3078	1562	-1464	NA	105639	101433	113385	7755	NA	511892	495407	507130	-100
23:00 EST 2/10/2021	NA	8092	8367	13815	10514	NA	26378	26704	17675	-7181	NA	6746	7092	6772	26	NA	51755	44920	51161	-594	NA	12592	11556	13144	552	NA	14486	14380	11287	-3199	NA	82616	83088	78317	-5263	NA	18100	17941	13951	-4149	NA	2981	3035	1495	-1486	NA	101981	97013	109703	7732	NA	494661	476335	489737	435
00:00 EST 2/11/2021	NA	7847	8201	13406	9979	NA	25560	25766	16514	-7193	NA	6290	6741	6452	162	NA	49530	43029	48993	-537	NA	11258	10378	11521	263	NA	13745	13590	10625	-3120	NA	80047	79717	77256	-3556	NA	17106	17001	13129	-3977	NA	2886	2960	1603	-1283	NA	99211	94674	105741	6539	NA	476381	456991	472127	1249
01:00 EST 2/11/2021	NA	7453	7849	12750	9695	NA	24494	24748	15164	-7421	NA	6062	6355	6433	371	NA	47564	40713	47114	-449	NA	10190	9607	10502	312	NA	13425	12870	10572	-2853	NA	78951	77594	77534	-2207	NA	16413	16315	12869	-3544	NA	2740	2809	1465	-1275	NA	96445	91948	101445	5005	NA	461163	439089	457879	2205
02:00 EST 2/11/2021	NA	7039	7411	10664	7997	NA	23056	23177	14356	-7137	NA	5930	6239	6299	369	NA	46428	43672	45997	-430	NA	9375	9165	9834	459	NA	13296	12530	10415	-2881	NA	77483	75852	76088	-2187	NA	16006	15895	12657	-3349	NA	2582	2646	1523	-1059	NA	94440	91446	99868	5437	NA	444740	433917	441072	1436
03:00 EST 2/11/2021	NA	6678	7087	10098	7563	NA	21508	21663	13172	-6171	NA	5881	6162	6164	283	NA	46046	42783	45576	-469	NA	8826	8794	9422	596	NA	13189	12400	10396	-2793	NA	76651	74889	75512	-1873	NA	15821	15656	12365	-3456	NA	2449	2525	1545	-904	NA	94558	91809	100073	5524	NA	437639	427070	433750	1678
04:00 EST 2/11/2021	NA	6573	7030	9635	7053	NA	20778	20740	12792	-6608	NA	5862	6246	6160	298	NA	46071	42731	45691	-380	NA	8610	8643	9174	564	NA	13227	12530	10525	-2702	NA	76373	74610	75650	-1472	NA	15794	15584	12132	-3662	NA	2366	2496	1377	-989	NA	94542	93686	100317	5784	NA	435029	426088	431716	1364
05:00 EST 2/11/2021	NA	6566	7188	9586	6826	NA	20280	20064	12694	-6491	NA	6044	6399	6486	442	NA	46566	42745	45969	-597	NA	8672	8794	9272	600	NA	13575	12870	11063	-2512	NA	76854	75165	75955	-1808	NA	16006	15793	12454	-3552	NA	2343	2474	1344	-999	NA	95030	98024	100800	5779	NA	437496	432529	434961	1538
06:00 EST 2/11/2021	NA	6612	7286	9632	6854	NA	19913	19636	12491	-6277	NA	6423	6907	6918	495	NA	47930	43816	47344	-586	NA	9234	9488	9877	643	NA	14121	13700	11779	-2342	NA	77483	77208	76487	-1954	NA	16797	16470	13075	-3722	NA	2327	2467	1345	-982	NA	97923	104536	103422	5507	NA	447633	448610	444908	1392
07:00 EST 2/11/2021	NA	6738	7418	9764	6869	NA	19854	19560	12750	-6112	NA	7058	7541	7509	451	NA	50504	46855	49729	-775	NA	10232	10565	10904	672	NA	15050	15010	12138	-2912	NA	80121	81330	78708	-2455	NA	18153	17657	14935	-3218	NA	2377	2511	1368	-1009	NA	103669	109600	109007	5347	NA	470595	473359	467377	690
08:00 EST 2/11/2021	NA	7074	7690	10363	7568	NA	20435	20073	13478	-6126	NA	7388	7884	7663	275	NA	53935	50215	52952	-983	NA	11174	11412	12017	843	NA	16159	16070	12962	-3197	NA	84647	86224	82881	-3334	NA	19340	18709	16402	-2938	NA	2460	2622	1323	-1137	NA	108930	111393	114248	5327	NA	497571	496471	493574	-362
09:00 EST 2/11/2021	NA	7689	8218	11338	8391	NA	21885	21571	14277	-7075	NA	7424	7940	7816	392	NA	56573	52038	55543	-1030	NA	12247	12466	13019	772	NA	16563	16480	13483	-3080	NA	87386	87985	85749	-3308	NA	20100	19409	16887	-3213	NA	2703	2892	1439	-1264	NA	111271	111388	116412	5151	NA	516859	510305	512816	-355
10:00 EST 2/11/2021	NA	8359	8818	13994	10303	NA	23987	23864	14383	-8463	NA	7335	7854	7940	605	NA	57841	52116	56987	-854	NA	13297	13490	14082	785	NA	16410	16450	13668	-2742	NA	88385	88089	86369	-3721	NA	20422	19676	16756	-3666	NA	3037	3217	1519	-1518	NA	112051	110606	117200	5158	NA	528722	517086	524776	221
11:00 EST 2/11/2021	NA	8822	9235	14493	10488	NA	24548	24601	17763	-7651	NA	7167	7763	7777	610	NA	58762	51917	57855	-906	NA	13742	14399	14722	980	NA	16086	16330	13576	-2510	NA	88534	87714	86269	-3971	NA	20514	19722	16316	-4198	NA	3234	3481	1488	-1746	NA	112021	109654	117152	5141	NA	532403	518801	530211	65
12:00 EST 2/11/2021	NA	8922	9310	14563	10577	NA	24139	24145	19190	-5096	NA	6965	7661	7404	439	NA	59455	51627	58608	-847	NA	14206	15180	15394	1188	NA	15858	16110	13267	-2591	NA	88374	87097	85442	-4560	NA	20359	19659	15711	-4648	NA	3287	3460	1500	-1787	NA	111259	108474	116759	5510	NA	532646	516284	529469	63
13:00 EST 2/11/2021	NA	8901	9201	14856	11090	NA	23417	23353	18107	-4082	NA	6833	7438	7169	336	NA	59821	51421	59006	-815	NA	15561	15712	16682	1121	NA	15628	15920	12964	-2664	NA	87755	86307	84799	-4511	NA	20175	19470	15881	-4294	NA	3269	3376	1391	-1878	NA	110498	107195	115798	5310	NA	531192	511587	526550	309
14:00 EST 2/11/2021	NA	8776	8981	14098	10850	NA	22997	22658	17457	-4340	NA	6795	7256	7254	459	NA	59505	50925	58642	-862	NA	16103	16052	17313	1210	NA	15353	15680	12802	-2551	NA	87220	85549	84245	-4518	NA	19986	19264	15303	-4683	NA	3248	3276	1566	-1682	NA	110173	105869	115239	5076	NA	528333	506150	522672	-515
15:00 EST 2/11/2021	NA	8728	8787	13792	10922	NA	22667	22235	17745	-4479	NA	6795	7050	7328	533	NA	59223	49542	58359	-864	NA	16498	16292	17639	1141	NA	15221	15620	12530	-2691	NA	86878	84838	83483	-4677	NA	19821	19077	15282	-4539	NA	3203	3201	1551	-1652	NA	109532	105171	114142	4620	NA	525899	500763	520680	-310
16:00 EST 2/11/2021	NA	8710	8615	13620	10631	NA	22626	22179	17055	-4285	NA	6891	7019	7412	521	NA	58831	49243	57967	-864	NA	16738	16288	17795	1057	NA	15464	15680	12873	-2591	NA	86362	84085	83235	-4381	NA	19864	19082	15706	-4158	NA	3192	3153	1431	-1761	NA	109813	106536	114272	4467	NA	525012	499757	519512	105
17:00 EST 2/11/2021	NA	8713	8455	13624	10547	NA	22543	22410	16529	-5095	NA	7102	7127	7523	421	NA	58692	48256	57794	-898	NA	16789	16259	17805	1016	NA	16176	16240	13241	-2935	NA	86662	84032	83788	-4081	NA	20272	19418	16575	-3697	NA	3204	3103	1537	-1667	NA	110089	110735	114705	4625	NA	527077	503607	522194	274
18:00 EST 2/11/2021	NA	8767	8381	13758	10462	NA	23250	22778	18276	-5428	NA	7525	7523	7911	386	NA	58893	48760	57982	-911	NA	16426	16050	17407	981	NA	17365	17510	14091	-3274	NA	87559	85318	85196	-3646	NA	21125	20184	17495	-3630	NA	3193	3065	1555	-1638	NA	112781	113558	117300	4528	NA	535735	512589	532073	-149
19:00 EST 2/11/2021	NA	8782	8417	14072	10813	NA	23841	23335	16773	-5558	NA	7812	7931	8168	356	NA	59619	50230	58429	-1191	NA	16308	16025	17201	893	NA	17648	17500	14332	-3316	NA	89931	88080	87486	-3862	NA	21475	20695	17927	-3548	NA	3192	3057	1742	-1450	NA	115089	112593	120180	5100	NA	546867	521990	540906	-600
20:00 EST 2/11/2021	NA	8975	8715	15197	11850	NA	24965	24169	17276	-7467	NA	7818	7948	8139	321	NA	60768	52381	59614	-1154	NA	16004	15179	16847	843	NA	17197	17170	13954	-3243	NA	91479	89677	89251	-3835	NA	21074	20370	17622	-3452	NA	3237	3104	1827	-1410	NA	113851	110541	119006	5164	NA	551256	526195	547694	542
21:00 EST 2/11/2021	NA	9323	9200	15605	11743	NA	26424	25700	18689	-7382	NA	7691	7779	8092	401	NA	60849	52111	59753	-1096	NA	15085	14178	15800	715	NA	16553	16570	13660	-2893	NA	90388	88898	88026	-3813	NA	20507	19817	16632	-3875	NA	3349	3240	1917	-1432	NA	111592	107316	116677	5094	NA	547606	522113	543821	459
22:00 EST 2/11/2021	NA	9352	9383	15642	11716	NA	27189	27186	18242	-7598	NA	7463	7543	7899	436	NA	60314	51777	59372	-942	NA	13956	12897	14714	758	NA	15698	15740	13209	-2489	NA	88733	87116	86756	-3428	NA	19558	19030	15671	-3887	NA	3368	3297	1995	-1373	NA	108291	102865	113497	5215	NA	536590	510526	531970	722
23:00 EST 2/11/2021	NA	9173	9268	15388	11625	NA	26498	26677	16941	-7716	NA	7106	7203	7512	406	NA	58669	50307	57852	-816	NA	12734	11686	13414	680	NA	14698	14720	12409	-2289	NA	86259	84332	84472	-2981	NA	18482	18062	14350	-4132	NA	3288	3230	2041	-1247	NA	104715	98775	109881	5175	NA	517885	491689	512959	1124
00:00 EST 2/12/2021	NA	8937	9025	15205	11627	NA	25618	25734	16132	-8289	NA	6877	6834	7310	433	NA	56448	48479	55632	-815	NA	11363	10503	11894	531	NA	13799	13860	11529	-2270	NA	83612	80977	82904	-1537	NA	17585	17171	13585	-4000	NA	3169	3129	2008	-1161	NA	101821	96131	106011	4200	NA	497820	471900	493686	1538
01:00 EST 2/12/2021	NA	8522	8594	14753	11307	NA	24483	24551	14865	-7933	NA	6710	6580	7336	626	NA	54499	46472	53683	-815	NA	10220	9706	10684	464	NA	13274	13270	11280	-1994	NA	81932	79732	82005	-1063	NA	16942	16726	12337	-4605	NA	3012	2966	2050	-962	NA	99302	95110	104997	5704	NA	481488	457095	477932	1971
02:00 EST 2/12/2021	NA	8084	8129	12938	9673	NA	23075	23001	13570	-7917	NA	6713	6551	7343	630	NA	53355	51355	52441	-914	NA	9475	9150	9902	427	NA	13020	13030	10767	-2253	NA	80791	78099	79529	-2234	NA	16575	16351	12176	-4399	NA	2829	2804	2035	-794	NA	98226	94596	105327	7111	NA	469842	453395	466374	2070
03:00 EST 2/12/2021	NA	7734	7778	11522	8408	NA	21689	21519	12042	-7738	NA	6830	6627	7452	622	NA	52940	50433	51977	-963	NA	9034	8835	9592	558	NA	12950	12950	10655	-2295	NA	79811	77265	78480	-2207	NA	16384	16154	12499	-3885	NA	2699	2690	2033	-666	NA	98458	94818	105477	7028	NA	463340	446973	459803	2140
04:00 EST 2/12/2021	NA	7583	7291	10718	8014	NA	21005	20290	11261	-8216	NA	6992	6772	7598	606	NA	52934	48415	52020	-914	NA	8824	8711	9448	624	NA	13043	13040	10820	-2223	NA	79234	77082	78305	-1760	NA	16370	16130	12383	-3987	NA	2613	2638	1995	-618	NA	98745	96991	105464	6729	NA	461149	443998	456876	1485
05:00 EST 2/12/2021	NA	7593	7436	10823	7911	NA	20281	19550	10872	-8037	NA	7337	7047	7854	517	NA	53340	49612	52426	-913	NA	8861	8862	9507	646	NA	13453	13450	11276	-2177	NA	79127	77792	78378	-1720	NA	16613	16390	12627	-3986	NA	2581	2619	1955	-626	NA	98316	101359	105025	6718	NA	462401	452234	458462	1297
06:00 EST 2/12/2021	NA	7605	7508	10876	7903	NA	19790	19144	10831	-7996	NA	7912	7583	7970	58	NA	54503	51692	53540	-962	NA	9281	9561	9974	693	NA	14325	14500	12188	-2137	NA	79975	80052	79430	-1698	NA	17387	17117	13168	-4219	NA	2576	2620	1916	-660	NA	101238	108106	107728	6499	NA	473123	470641	469714	661
07:00 EST 2/12/2021	NA	7702	7676	11058	8005	NA	19756	19028	11441	-7661	NA	8649	8215	8530	-119	NA	56754	53404	55768	-986	NA	10116	10552	10764	648	NA	15721	15890	13586	-2135	NA	83415	84483	82176	-2580	NA	18661	18357	14664	-3997	NA	2613	2660	1972	-641	NA	107314	113296	113664	6359	NA	496398	494027	492718	-105
08:00 EST 2/12/2021	NA	7946	8022	11495	8560	NA	20193	19561	12435	-7400	NA	9126	8655	8942	-184	NA	59933	57809	58744	-1189	NA	11043	11446	11969	926	NA	16741	16800	14681	-2060	NA	88259	89723	86324	-3628	NA	19749	19394	15868	-3881	NA	2699	2758	1927	-772	NA	112017	114639	118390	6383	NA	522752	518554	519369	-483
